index,drug_smi
286,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1
287,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1
288,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
289,CCOC(=O)c1cncn1C(C)c1ccccc1
290,NC(=O)OCC(COC(N)=O)c1ccccc1
291,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
292,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
293,NNC(=O)c1ccncc1
294,CCc1cc(C(N)=S)ccn1
295,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
296,c1ccc2[nH]c(-c3cscn3)nc2c1
297,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
298,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
299,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
300,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
301,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
302,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
303,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
304,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
305,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
306,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
307,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
308,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
309,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
310,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
311,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12
312,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
313,CC(C)NCC(O)c1ccc(O)c(O)c1
314,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
315,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
316,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
317,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
318,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
319,Clc1cccc(Cl)c1NC1=NCCN1
320,CNCC(O)c1cccc(O)c1
321,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
322,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
323,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
324,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
325,Clc1ccc2nsnc2c1NC1=NCCN1
326,CNCC(O)c1ccc(O)c(O)c1
327,NCC(O)c1ccc(O)c(O)c1
328,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
329,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
330,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O
331,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
332,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
333,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
334,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
335,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
336,CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
337,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
338,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1
339,C[N+](C)(C)CC(=O)O
340,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C
341,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
342,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
343,COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O
344,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
345,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
346,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
347,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
348,C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
349,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
350,Cc1ccccc1C(OCCN(C)C)c1ccccc1
351,CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1
352,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
353,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
354,CC(C[N+](C)(C)C)OC(N)=O
355,COC(=O)C1=CCCN(C)C1
356,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1
357,COc1ccccc1OCC(O)COC(N)=O
358,NNc1nncc2ccccc12
359,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O
360,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2
361,Clc1ccccc1CN1CCc2sccc2C1
362,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
363,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
364,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F
365,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
366,CN1CCN2c3ccccc3Cc3ccccc3C2C1
367,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
368,CN1CCN2c3ncccc3Cc3ccccc3C2C1
369,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
370,COc1ccc2cccc(CCNC(C)=O)c2c1
371,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3
372,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
373,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1
374,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
375,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
376,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
377,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
378,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
379,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
380,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
381,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1
382,CCCNC1CCc2nc(N)sc2C1
383,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
384,NC12CC3CC(CC(C3)C1)C2
385,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
386,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
387,CNCCCC12CCC(c3ccccc31)c1ccccc12
388,CNCCC(Oc1cccc2ccccc12)c1cccs1
389,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
390,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
391,CCC1(C)CC(=O)NC1=O
392,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O
393,O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1
394,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
395,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
396,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
397,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
398,CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1
399,COc1ccc(C(=O)N2CCCC2=O)cc1
400,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1
401,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2
402,Nc1c2c(nc3ccccc13)CCCC2
403,Oc1ccc(OCc2ccccc2)cc1
404,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
405,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C
406,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1
407,CC(N)C12CC3CC(CC(C3)C1)C2
408,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
409,NC(Cc1ccc(O)c(O)c1)C(=O)O
410,C#CCN(C)C(C)Cc1ccccc1
411,C#CCNC1CCc2ccccc21
412,NNCCc1ccccc1
413,NCCc1ccc(O)c(O)c1
414,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
415,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
416,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
417,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
418,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
419,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1
420,NC(N)=NC(N)=NCCc1ccccc1
421,CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
422,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
423,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
424,Nc1ccc(S(N)(=O)=O)cc1
425,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
426,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
427,CC(=O)OCC1OC([S-])C(OC(C)=O)C(OC(C)=O)C1OC(C)=O.CCP(CC)CC.[Au+]
428,CCCc1cc(=O)[nH]c(=S)[nH]1
429,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
430,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
431,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)NC2(CCN(CC(C)C)CC2)N=5)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
432,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
433,O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl
434,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC
435,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
436,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O
437,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
438,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
439,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
440,CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1
441,O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12
442,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
443,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1
444,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1
445,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
446,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
447,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12
448,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
449,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OC(=O)C(C)(CO)CO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
450,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
451,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O
452,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
453,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
454,CCC1=C/C(=C2/NNC(C)=C2c2ccc3c(c2)OCCO3)C(=O)C=C1O
455,O=C(CCCCCCC(=O)Nc1ccccc1)NO
456,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O
457,CC(C=CC(=O)NO)=CC(C)C(=O)c1ccc(N(C)C)cc1
458,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
459,CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(=O)NO)CC(C)C
460,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
461,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1
462,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O
463,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1
464,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
465,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
466,CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O.[C-]#N.[Co+3]
467,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
468,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC=CC(O)(CC)CC)CC(O)CC1O
469,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
470,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
471,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
472,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
473,CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
474,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
475,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
476,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
477,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
478,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
479,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
480,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
481,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
482,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
483,COC1=CC(C)=CC(C)C(O)C(C)CC(C)=CC=CC(OC)C(C(C)C(O)C(C)C2(O)CC(O)C(C)C(C(C)C)O2)OC1=O
484,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O
485,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21
486,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
487,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
488,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
489,OCC1OC(n2cnc3c2NC=NCC3O)CC1O
490,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1
491,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
492,O=C([O-])CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1
493,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-]
494,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1
495,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O
496,CC=CCC=CCCC(=O)C1OC1C(N)=O
497,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1
498,NCCCCCC(=O)O
499,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
500,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
501,CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(Cl)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC
502,CC1C(=O)OC2CC34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C21O
503,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1
504,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
505,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1
506,CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F
507,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
508,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
509,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
510,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12
511,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
512,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
513,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
514,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
515,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
516,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
517,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
518,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
519,C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1
520,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1
521,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1
522,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
523,CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1
524,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
525,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21
526,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
527,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12
528,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1
529,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
530,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)COc1cccc(C(F)(F)F)c1
531,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13
532,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
533,CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO
534,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
535,NC1CC1c1ccccc1
536,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2
537,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1
538,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O
539,OCCN1CC(O)C(O)C(O)C1CO
540,CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)CCc1ccccc1
541,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
542,CCC(C)SSc1ncc[nH]1
543,O=C(O)CCCc1c[nH]c2ccccc12
544,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
545,CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O
546,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
